system:index,elevation,.geo
250,3182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69125000002933,39.49791666667487]}"
251,3159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.690416666696,39.49791666667487]}"
252,3128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68958333336266,39.49791666667487]}"
253,3087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68875000002933,39.49791666667487]}"
254,3057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.687916666696,39.49791666667487]}"
255,3028,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68708333336266,39.49791666667487]}"
256,2993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68625000002933,39.49791666667487]}"
257,2958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.685416666696,39.49791666667487]}"
258,2935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68458333336265,39.49791666667487]}"
259,2919,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68375000002932,39.49791666667487]}"
260,2907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68291666669599,39.49791666667487]}"
261,2912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68208333336266,39.49791666667487]}"
262,2934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68125000002932,39.49791666667487]}"
